Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
280;0;-49.4596;-3.30943;-82.2219;9.49026;3580.33;5.80457;0;0;0.1;0.01;0;4.67773;0;0;-1-1;-1
280;1;-42.8296;-34.1666;-89.1523;8.16;2275.93;4.92971;0;0;0.1;0.01;0;1.3404;1;0;-1-1;-1
280;2;-37.6794;-12.1596;-90.6803;9.52705;3622.13;5.86115;0;0;0.1;0.01;0;3.75635;0;0;-1-1;-1
280;3;-34.2194;3.90231;-83.9982;9.91101;4077.95;6.04359;0;0;0.1;0.01;0;5.68708;0;0;-1-1;-1
280;4;-36.5629;29.6366;-93.2337;8.2429;2346.01;4.98792;0;0;0.1;0.01;0;1.38982;0;0;-1-1;-1
280;5;-22.2407;-38.8683;-94.6522;10.0472;4248.39;6.11174;0;0;0.1;0.01;0;2.48805;0;0;-1-1;-1
280;6;-21.4228;-24.9805;-84.1711;9.81465;3960.16;6.0008;0;0;0.1;0.01;0;5.95243;0;0;-1-1;-1
280;7;-22.1618;-7.94765;-83.8066;9.81725;3963.32;5.99196;0;0;0.1;0.01;0;5.58262;0;0;-1-1;-1
280;8;-18.3264;13.2997;-84.0705;9.92159;4091.03;6.048;0;0;0.1;0.01;0;5.98726;0;0;-1-1;-1
280;9;-22.4933;31.2751;-85.9428;9.96043;4139.27;6.06424;0;0;0.1;0.01;0;4.89117;0;0;-1-1;-1
280;10;-1.18568;-51.4565;-81.1498;9.30039;3369.7;5.70651;0;0;0.1;0.01;0;4.69558;0;0;-1-1;-1
280;11;-9.23775;-37.3489;-82.6073;10.0219;4216.34;6.08608;0;0;0.1;0.01;0;6.40284;0;0;-1-1;-1
280;12;-5.45551;-11.3516;-89.4773;9.88501;4045.95;6.04313;0;0;0.1;0.01;0;3.97636;0;0;-1-1;-1
280;13;-3.56741;3.3317;-83.7002;8.83239;2886.18;5.42837;0;0;0.1;0.01;0;6.07327;0;0;-1-1;-1
280;14;-3.11623;18.3096;-82.3541;8.75264;2808.71;5.37661;0;0;0.1;0.01;0;6.1476;0;0;-1-1;-1
280;15;-5.59511;34.7396;-83.6503;10.2107;4459.12;6.18432;0;0;0.1;0.01;0;4.57428;0;0;-1-1;-1
280;16;6.47299;-36.2535;-80.7574;8.22858;2333.8;4.96295;0;0;0.1;0.01;0;5.3454;1;0;-1-1;-1
280;17;5.6128;-21.1875;-82.9723;8.43767;2516.26;5.14709;0;0;0.1;0.01;0;6.06524;0;0;-1-1;-1
280;18;10.8718;-6.89871;-85.4015;9.81841;3964.72;6.01628;0;0;0.1;0.01;0;4.8146;0;0;-1-1;-1
280;19;10.6802;10.0125;-84.5756;9.81906;3965.5;5.98877;0;0;0.1;0.01;0;5.14842;0;0;-1-1;-1
280;20;11.3626;26.8633;-85.0285;9.84677;3999.17;6.02034;0;0;0.1;0.01;0;5.00266;0;0;-1-1;-1
280;21;19.862;48.4503;-95.4556;9.25505;3320.66;5.68323;0;0;0.1;0.01;0;1.91904;0;0;-1-1;-1
280;22;24.2004;-51.5985;-83.7356;10.0997;4315.35;6.13182;0;0;0.1;0.01;0;2.81803;0;0;-1-1;-1
280;23;31.0968;-32.6396;-103.88;8.22754;2332.91;4.96478;0;0;0.1;0.01;0;0.673588;1;0;-1-1;-1
280;24;26.1004;-14.6839;-84.1406;9.72657;3854.5;5.95009;0;0;0.1;0.01;0;6.53568;0;0;-1-1;-1
280;25;25.055;1.89525;-83.9227;9.77352;3910.59;5.99209;0;0;0.1;0.01;0;7.09505;0;0;-1-1;-1
280;26;27.3167;18.7448;-84.4224;9.88405;4044.77;6.03909;0;0;0.1;0.01;0;5.68778;0;0;-1-1;-1
