simulated time	num cells	num division	num death	wall time	oxygen	tnf
0	1137	1137	0	0.0706373	18999	109.784
40	1228	91	0	119.7	3.71084e-06	2.91948
80	1243	15	0	99.8614	7.05856e-16	0.0119566
120	1269	26	0	100.089	1.27333e-25	4.89671e-05
160	1294	25	0	100.256	2.13785e-35	2.00537e-07
200	1335	41	0	100.761	3.32357e-45	8.21251e-10
240	1377	42	0	100.819	4.76527e-55	3.36318e-12
280	1430	53	0	110.049	6.24701e-65	175.289
320	1487	57	0	110.433	7.4122e-75	1.46772
360	1548	61	0	101.749	8.06394e-85	0.00601029
400	1648	100	0	102.215	7.89121e-95	2.46116e-05
440	1730	87	5	102.184	6.9069e-105	1.0078e-07
480	1843	117	4	104.161	5.41907e-115	4.12669e-10
520	1990	151	4	103.016	3.71653e-125	1.68974e-12
560	2103	117	4	122.664	2.19111e-135	179.756
600	2180	80	3	104.558	1.12829e-145	0.740133
640	2279	104	5	105.709	4.99522e-156	0.00303036
680	2385	109	3	107.096	1.8588e-166	1.24069e-05
720	2418	35	2	108.55	5.85023e-177	5.07948e-08
760	2459	43	2	107.158	1.54587e-187	2.0795e-10
800	2504	54	9	108.231	3.42845e-198	8.51298e-13
840	2587	85	2	127.98	6.34624e-209	90.912
880	2657	76	6	109.811	9.90449e-220	0.372149
920	2757	102	2	111.357	1.30364e-230	0.00152333
960	2862	112	7	110.158	1.44673e-241	6.23527e-06
1000	2980	123	5	111.989	1.35209e-252	2.55213e-08
1040	3155	182	7	112.072	1.05127e-263	1.04456e-10
1080	3323	172	4	113.355	6.77187e-275	4.27516e-13
1120	3563	245	5	133.503	3.51144e-286	45.7205
1160	3820	263	6	116.877	1.43065e-297	0.18711
1200	4036	225	9	119.856	0	0.000765703
1240	4187	154	3	117.927	0	3.13331e-06
1280	4384	204	7	120.577	0	1.2821e-08
1320	4561	184	7	122.04	0	5.24579e-11
1360	4645	90	6	123.121	0	2.14621e-13
1400	4708	72	9	141.894	0	22.9904
1440	4810	112	10	125.05	0	0.0940475
1440.02	4815	5	0	0.846078	0	0.0937892
