Time;ID;x;y;z;radius;volume_total;radius_nuclear;contact_ECM;freezer;polarized_fraction;motility;cell_line;Cell_cell;phase;Cycle;NFkB
880;0;-50.3214;-6.37382;-113.308;9.13775;3196;5.63295;0;0;0.1;0.01;0;3.16182;0;0;-1
880;1;-38.5927;-22.1003;-110.622;2.51886;66.9426;2.35887;0;0;1.71434e-13;0.01;0;4.578;100;0;-1
880;2;-44.192;-16.8248;-103.556;9.34511;3418.55;5.73997;0;0;0.1;0.01;0;6.98658;0;0;-1
880;3;-35.7073;-2.1114;-104.468;9.77028;3906.69;5.9796;0;0;0.1;0.01;0;6.26458;0;0;-1
880;4;-39.0296;33.1729;-114.293;8.18606;2297.81;4.96993;0;0;0.1;0.01;0;3.03291;1;0;-1
880;5;-10.6554;-47.2875;-110.457;9.94719;4122.77;6.06996;0;0;0.1;0.01;0;4.31623;0;0;-1
880;6;-18.7974;-32.703;-113.899;9.70552;3829.53;5.94136;0;0;0.1;0.01;0;4.64407;0;0;-1
880;7;-30.3194;-15.578;-96.3997;9.63388;3745.35;5.9007;0;0;0.1;0.01;0;8.36716;0;0;-1
880;8;-29.2876;11.7736;-97.7376;9.85345;4007.32;6.02923;0;0;0.1;0.01;0;7.10548;0;0;-1
880;9;-24.4007;26.1271;-121.842;9.88623;4047.45;6.05938;0;0;0.1;0.01;0;2.55549;0;0;-1
880;10;-8.56868;-56.851;-97.9613;9.13524;3193.36;5.6086;0;0;0.1;0.01;0;6.16568;0;0;-1
880;11;-3.6114;-32.8812;-104.196;9.90366;4068.89;6.08304;0;0;0.1;0.01;0;7.19996;0;0;-1
880;12;-15.3373;-15.798;-117.353;9.75548;3888.97;6.00466;0;0;0.1;0.01;0;4.6783;0;0;-1
880;13;-10.8818;1.56779;-111.747;8.22577;2331.41;4.98772;0;0;0.1;0.01;0;4.00972;1;0;-1
880;14;-24.8991;11.7629;-113.641;8.30799;2402.02;5.05568;0;0;0.1;0.01;0;4.59283;0;0;-1
880;15;2.30474;57.2368;-102.038;10.1792;4418.07;6.19816;0;0;0.1;0.01;0;4.72638;0;0;-1
880;16;14.9457;-52.971;-97.9875;8.21114;2318.99;4.97396;0;0;0.1;0.01;0;5.48677;1;0;-1
880;17;-8.15225;-27.8807;-124.241;8.20288;2312;4.98238;0;0;0.1;0.01;0;2.17814;1;0;-1
880;18;11.1873;-24.4909;-105.544;9.70127;3824.49;5.9457;0;0;0.1;0.01;0;6.79591;0;0;-1
880;19;-2.55963;15.3926;-115.455;9.72764;3855.76;5.98203;0;0;0.1;0.01;0;3.33617;0;0;-1
880;20;22.1512;36.3518;-113.283;9.7773;3915.12;5.97271;0;0;0.1;0.01;0;3.86556;0;0;-1
880;21;7.04283;39.2482;-109.381;9.18632;3247.23;5.66974;0;0;0.1;0.01;0;3.93262;0;0;-1
880;22;22.213;-63.8587;-106.525;9.93569;4108.5;6.07313;0;0;0.1;0.01;0;3.02397;0;0;-1
880;23;35.6438;-55.7391;-110.134;8.20229;2311.5;4.97903;0;0;0.1;0.01;0;2.47068;1;0;-1
880;24;23.5991;-14.4104;-101.728;9.64098;3753.64;5.92765;0;0;0.1;0.01;0;6.40157;0;0;-1
880;25;27.5991;14.4317;-109.037;9.5494;3647.68;5.86393;0;0;0.1;0.01;0;5.73602;0;0;-1
880;26;37.1505;28.7138;-112.348;9.68396;3804.06;5.93063;0;0;0.1;0.01;0;5.15146;0;0;-1
880;27;32.5892;60.3938;-104.218;10.2239;4476.47;6.2204;0;0;0.1;0.01;0;3.05667;0;0;-1
880;28;44.5297;-56.6785;-100.816;5.70271;776.842;3.98452;0;0;0.000344564;0.01;0;3.91971;100;0;-1
880;29;53.1241;-38.2243;-104.429;9.31092;3381.16;5.74641;0;0;0.1;0.01;0;4.52781;0;0;-1
880;30;42.8735;-6.45541;-110.958;8.61831;2681.36;5.29225;0;0;0.1;0.01;0;2.11417;0;0;-1
880;31;66.6745;24.5402;-98.8606;8.90299;2955.95;5.47314;0;0;0.1;0.01;0;3.15455;0;0;-1
880;32;60.447;38.253;-100.928;8.21264;2320.26;4.9804;0;0;0.1;0.01;0;5.78752;1;0;-1
880;33;-93.7682;-11.2672;-81.8797;9.99533;4182.92;6.10489;0;0;0.1;0.01;0;2.48413;0;0;-1
880;34;-89.5731;-61.0261;-70.1713;8.1683;2282.88;4.95742;0;0;0.1;0.01;0;3.77712;1;0;-1
880;35;-72.4891;-27.331;-77.8525;9.97396;4156.15;6.114;0;0;0.1;0.01;0;7.18118;0;0;-1
880;36;-72.1979;-18.125;-91.2598;9.39885;3477.87;5.79429;0;0;0.1;0.01;0;3.98221;0;0;-1
880;37;-79.8912;4.35981;-92.0176;9.02281;3076.91;5.56931;0;0;0.1;0.01;0;3.37034;0;0;-1
880;38;-62.0435;48.6098;-90.9261;9.4788;3567.37;5.8446;0;0;0.1;0.01;0;3.96434;0;0;-1
880;39;-56.8282;54.4378;-75.6137;10.0314;4228.4;6.13036;0;0;0.1;0.01;0;7.85792;0;0;-1
880;40;-49.5136;-64.4515;-88.704;9.68475;3805;5.94635;0;0;0.1;0.01;0;4.77203;0;0;-1
880;41;-57.7902;-26.2236;-87.8043;10.0146;4207.22;6.12849;0;0;0.1;0.01;0;6.99877;0;0;-1
880;42;-59.1234;-14.4821;-101.022;9.03554;3089.94;5.55972;0;0;0.1;0.01;0;5.24347;0;0;-1
880;43;-46.6622;-5.20515;-75.1657;9.35499;3429.4;5.76242;0;0;0.1;0.01;0;8.08926;0;0;-1
880;44;-55.6195;14.7714;-106.788;9.54216;3639.39;5.87279;0;0;0.1;0.01;0;3.88215;0;0;-1
